company,open,High,Low,close,change,Trades,Volume,Date
NNFM,8.0,--,--,8.0,,9,"10,098",2021-10-20
NNFM,8.0,--,--,8.0,,24,"163,759",2021-10-21
NNFM,8.0,--,--,8.0,,9,"105,597",2021-10-22
NNFM,8.0,--,--,8.0,,16,"159,700",2021-10-25
NNFM,8.0,--,--,8.0,,0,--,2021-10-26
NNFM,8.0,--,--,8.0,,6,"19,626",2021-10-27
NNFM,8.0,--,--,8.0,,1,"2,728",2021-10-28
NNFM,8.0,--,--,8.0,,9,"84,554",2021-10-29
NNFM,8.0,--,--,8.0,,11,"72,910",2021-11-01
NNFM,8.0,--,--,8.0,,6,"196,150",2021-11-02
NNFM,8.0,--,--,8.0,,1,3,2021-11-03
NNFM,8.0,--,--,8.0,,3,"75,150",2021-11-04
NNFM,8.0,--,--,8.0,,3,"14,019",2021-11-05
NNFM,8.0,--,--,8.0,,5,"1,750",2021-11-08
NNFM,8.0,--,--,8.0,,12,"23,657",2021-11-09
NNFM,8.0,--,--,8.0,,7,"67,400",2021-11-10
NNFM,8.0,--,--,8.0,,6,"5,209",2021-11-11
NNFM,8.0,--,--,8.0,,4,"10,217",2021-11-12
NNFM,8.0,--,--,8.0,,0,--,2021-11-15
NNFM,8,--,--,8.00,,4,"92,502",2021-11-16
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-09-30
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-04
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-06
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-08
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-11
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-12
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-13
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-14
NOTORE [BLS],62.5,--,--,62.5,,1,1,2021-10-18
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-20
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-21
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-22
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-25
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-26
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-27
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-28
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-10-29
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-01
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-02
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-03
